country_code,region_count,mean,median,std,min,max
BG,8,31.71,34.65,6.41,20.1,38.3
EL,17,28.54,30.8,6.49,19.6,41.4
RO,12,27.68,27.0,7.75,12.0,39.7
ES,26,26.17,23.05,8.06,14.8,44.5
RS,2,24.5,24.5,4.81,21.1,27.9
LT,2,22.85,22.85,10.25,15.6,30.1
FR,40,22.78,19.9,8.62,14.6,59.5
IT,26,22.03,14.65,12.49,6.6,48.8
DE,54,21.53,21.85,4.32,13.0,34.9
HR,4,20.82,20.6,8.34,11.1,31.0
PT,9,20.67,19.1,3.48,16.5,28.4
CH,7,20.36,19.1,6.78,13.7,33.1
BE,14,19.36,17.3,8.85,10.2,37.3
HU,11,19.23,20.0,7.0,10.2,28.8
DK,5,18.14,18.5,2.09,15.1,20.3
IE,3,18.13,16.6,3.56,15.6,22.2
SE,11,17.66,17.6,2.45,13.3,21.6
SK,4,17.05,16.95,7.04,8.6,25.7
PL,24,16.75,16.55,3.94,8.9,26.4
NO,6,16.33,15.95,2.49,13.5,19.3
FI,4,16.25,16.6,0.84,15.0,16.8
AT,12,15.6,14.6,4.81,10.0,28.2
NL,16,15.37,15.35,2.16,12.9,21.0
SI,2,14.35,14.35,3.89,11.6,17.1
CZ,8,11.44,11.35,2.33,8.8,16.3
